=== 信道编码性能评估结果 ===
评估时间: 2026-01-26 15:29:59

=== 不同编码方案性能评估 ===
编码方案       SNR(dB)    调制类型       信道类型       BER             耗时(s)     
--------------------------------------------------------------------------------
CRC        0          qpsk       awgn       0.493408        0.018     
CRC        2          qpsk       awgn       0.102173        0.023     
CRC        4          qpsk       awgn       0.060547        0.021     
CRC        6          qpsk       awgn       0.026245        0.021     
CRC        8          qpsk       awgn       0.006836        0.022     
CRC        10         qpsk       awgn       0.000244        0.022     
CRC        11.0       qpsk       awgn       0.000244        0.021     
CRC        11.05      qpsk       awgn       0.000122        0.021     
CRC        11.1       qpsk       awgn       0.000122        0.021     
CRC        11.15      qpsk       awgn       0.000244        0.021     
CRC        11.2       qpsk       awgn       0.000122        0.021     
CRC        11.25      qpsk       awgn       0.000122        0.021     
CRC        11.3       qpsk       awgn       0.000122        0.021     
CRC        11.35      qpsk       awgn       0.000000        0.021     
CRC        11.4       qpsk       awgn       0.000244        0.021     
CRC        11.45      qpsk       awgn       0.000122        0.021     
CRC        11.5       qpsk       awgn       0.000000        0.021     
CRC        11.55      qpsk       awgn       0.000000        0.021     
CRC        11.6       qpsk       awgn       0.000122        0.022     
CRC        11.65      qpsk       awgn       0.000122        0.021     
CRC        11.7       qpsk       awgn       0.000122        0.022     
CRC        11.75      qpsk       awgn       0.000000        0.021     
CRC        11.8       qpsk       awgn       0.000000        0.022     
CRC        11.85      qpsk       awgn       0.000244        0.021     
CRC        11.9       qpsk       awgn       0.000000        0.021     
CRC        11.95      qpsk       awgn       0.000000        0.021     
CRC        12.0       qpsk       awgn       0.000000        0.021     
CRC        12.5       qpsk       awgn       0.000000        0.021     
CRC        14         qpsk       awgn       0.000000        0.021     
CRC        16         qpsk       awgn       0.000000        0.021     
CRC        18         qpsk       awgn       0.000000        0.021     
CRC        20         qpsk       awgn       0.000000        0.021     
LDPC       0          qpsk       awgn       0.506470        0.058     
LDPC       2          qpsk       awgn       0.500000        0.063     
LDPC       4          qpsk       awgn       0.057129        0.065     
LDPC       6          qpsk       awgn       0.487305        0.059     
LDPC       8          qpsk       awgn       0.004761        0.064     
LDPC       10         qpsk       awgn       0.000732        0.064     
LDPC       11.0       qpsk       awgn       0.000244        0.064     
LDPC       11.05      qpsk       awgn       0.000244        0.063     
LDPC       11.1       qpsk       awgn       0.000000        0.064     
LDPC       11.15      qpsk       awgn       0.000122        0.063     
LDPC       11.2       qpsk       awgn       0.000122        0.064     
LDPC       11.25      qpsk       awgn       0.000000        0.065     
LDPC       11.3       qpsk       awgn       0.000122        0.064     
LDPC       11.35      qpsk       awgn       0.000000        0.064     
LDPC       11.4       qpsk       awgn       0.000122        0.065     
LDPC       11.45      qpsk       awgn       0.000122        0.063     
LDPC       11.5       qpsk       awgn       0.000000        0.064     
LDPC       11.55      qpsk       awgn       0.000000        0.064     
LDPC       11.6       qpsk       awgn       0.000122        0.064     
LDPC       11.65      qpsk       awgn       0.000122        0.063     
LDPC       11.7       qpsk       awgn       0.000000        0.063     
LDPC       11.75      qpsk       awgn       0.000122        0.077     
LDPC       11.8       qpsk       awgn       0.000000        0.064     
LDPC       11.85      qpsk       awgn       0.000000        0.064     
LDPC       11.9       qpsk       awgn       0.000000        0.064     
LDPC       11.95      qpsk       awgn       0.000244        0.063     
LDPC       12.0       qpsk       awgn       0.000000        0.063     
LDPC       12.5       qpsk       awgn       0.000000        0.064     
LDPC       14         qpsk       awgn       0.000000        0.064     
LDPC       16         qpsk       awgn       0.000000        0.064     
LDPC       18         qpsk       awgn       0.000000        0.142     
LDPC       20         qpsk       awgn       0.000000        0.066     
POLAR      0          qpsk       awgn       0.502197        0.099     
POLAR      2          qpsk       awgn       0.500366        0.097     
POLAR      4          qpsk       awgn       0.492554        0.109     
POLAR      6          qpsk       awgn       0.495728        0.139     
POLAR      8          qpsk       awgn       0.000000        1.263     
POLAR      10         qpsk       awgn       0.000000        1.385     
POLAR      11.0       qpsk       awgn       0.000000        1.317     
POLAR      11.05      qpsk       awgn       0.000000        1.489     
POLAR      11.1       qpsk       awgn       0.000000        1.354     
POLAR      11.15      qpsk       awgn       0.000000        1.308     
POLAR      11.2       qpsk       awgn       0.000000        1.323     
POLAR      11.25      qpsk       awgn       0.000000        1.431     
POLAR      11.3       qpsk       awgn       0.000000        1.449     
POLAR      11.35      qpsk       awgn       0.000000        1.339     
POLAR      11.4       qpsk       awgn       0.000000        1.379     
POLAR      11.45      qpsk       awgn       0.000000        1.354     
POLAR      11.5       qpsk       awgn       0.000000        1.273     
POLAR      11.55      qpsk       awgn       0.000000        1.287     
POLAR      11.6       qpsk       awgn       0.000000        1.291     
POLAR      11.65      qpsk       awgn       0.000000        1.264     
POLAR      11.7       qpsk       awgn       0.000000        1.270     
POLAR      11.75      qpsk       awgn       0.000000        1.294     
POLAR      11.8       qpsk       awgn       0.000000        1.274     
POLAR      11.85      qpsk       awgn       0.000000        1.361     
POLAR      11.9       qpsk       awgn       0.000000        1.268     
POLAR      11.95      qpsk       awgn       0.000000        1.276     
POLAR      12.0       qpsk       awgn       0.000000        1.275     
POLAR      12.5       qpsk       awgn       0.000000        1.277     
POLAR      14         qpsk       awgn       0.000000        1.278     
POLAR      16         qpsk       awgn       0.000000        1.261     
POLAR      18         qpsk       awgn       0.000000        1.261     
POLAR      20         qpsk       awgn       0.000000        1.272     
