=== 信道编码性能评估结果 ===
评估时间: 2026-01-26 15:30:26

=== 极化码性能评估 ===
码率         SNR(dB)    调制类型       信道类型       BER             耗时(s)     
--------------------------------------------------------------------------------
0.30       0          qpsk       awgn       0.000000        2.779     
0.30       5          qpsk       awgn       0.000000        2.833     
0.30       10         qpsk       awgn       0.000000        2.761     
0.30       15         qpsk       awgn       0.000000        2.794     
0.30       20         qpsk       awgn       0.000000        2.863     
0.50       0          qpsk       awgn       0.000000        1.330     
0.50       5          qpsk       awgn       0.000000        1.336     
0.50       10         qpsk       awgn       0.000000        1.299     
0.50       15         qpsk       awgn       0.000000        1.273     
0.50       20         qpsk       awgn       0.000000        1.272     
0.70       0          qpsk       awgn       0.000000        1.279     
0.70       5          qpsk       awgn       0.000000        1.257     
0.70       10         qpsk       awgn       0.000000        1.258     
0.70       15         qpsk       awgn       0.000000        1.347     
0.70       20         qpsk       awgn       0.000000        1.255     
